AARS2
TET1
TFE3
TFEB
TFG
TFPT
TFRC
THRAP3
TLX1
TLX3
TMEM127
TMPRSS2
TNFAIP3
TNFRSF14
TNFRSF17
TOP1
TP63
TPM3
TPM4
TRA
TRAF7
TRB
TRD
TRIM24
TRIM27
TRIM33
TRRAP
TSC1
TSHR
TTL
UBR5
USP6
USP8
VTI1A
WAS
WHSC1
WHSC1L1
WIF1
WWTR1
XPA
XPC
XPO1
YWHAE
ZBTB16
ZCCHC8
ZNF198
ZNF278
ZNF331
ZNF384
ZNF521
ZRSR2
CSF1R
DNMT1
FAM123B
MLL2
MLL3
SOX9
MLL
MYCL1
